Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks,Fund Age (Years)
Sundaram Services Fund-Reg(G),Rohit Seksaria,EQ-THEM,4,3907.1,1.91,Open Ended,2018-09-21,Nifty Services Sector - TRI,33.39,34.92,27.01,0.34,-4.24,5.34,18.62,23.92,16.66,21.4,,78.2,52.0,103110.0,48.66,12.31,33.17,Financials,,,,9.95,1.08,1.59,0.84,13.2,Equity : Thematic,Nil upto 25% of units and 1% for remaining units on or before 365D Nil after 365D,7.0
Sundaram Short Duration Fund(G),Dwijendra Srivastava,DT-SD,2,235.0,0.85,Open Ended,2003-05-13,Nifty Short Duration Debt Index,42.43,42.43,39.31,0.51,1.41,4.14,7.9,7.34,6.04,6.28,5.89,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,3.28,2.41,7.29,2.7,4.8,10.15,0.37,0.79,Debt : Short Duration,Nil,22.0
Sundaram Small Cap Fund(G),Rohit Seksaria,EQ-SML,3,3424.3,1.94,Open Ended,2005-02-15,Nifty Smallcap 250 - TRI,261.99,272.96,207.47,0.03,-4.4,3.28,19.77,31.78,19.66,27.63,14.29,62.7,81.0,16135.0,5.52,6.31,83.42,Financials,,,,11.64,0.99,1.42,0.79,15.85,Equity : Small Cap,Nil upto 25% of units and 1% for remaining units on or before 365D Nil after 365D,20.0
Sundaram Ultra Short Duration Fund(G),Sandeep Agarwal,DT-USD,1,2073.4,1.48,Open Ended,2007-12-28,NIFTY Ultra Short Duration Debt Index,2601.1,2601.1,2444.58,0.54,1.52,3.12,6.41,6.26,5.4,4.57,5.34,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.39,0.37,7.33,2.32,8.97,18.14,0.03,0.27,Debt : Ultra Short Duration,Nil,18.0
Tata Arbitrage Fund-Reg(G),Sailesh Jain,HY-ARB,5,12589.0,1.08,Open Ended,2018-12-18,Nifty 50 Arbitrage,13.9,13.9,12.94,0.66,1.83,3.46,7.46,7.28,6.19,5.44,,551.29,158.0,169031.0,44.19,18.19,4.18,Financials,0.32,0.3,7.52,3.55,3.4,7.73,-0.09,0.96,Hybrid : Arbitrage,0.25% on or before 30D,7.0
Tata Balanced Adv Fund-Reg(G),Rahul Singh (Tata),HY-DYN,4,10258.2,1.7,Open Ended,2019-01-28,CRISIL Hybrid 50+50 - Moderate Index,20.02,20.71,17.89,-0.4,-3.42,0.35,10.87,14.07,11.26,12.99,,30.47,73.0,310223.0,55.65,7.52,3.39,Financials,4.04,2.4,7.39,2.82,0.95,1.38,1.32,7.08,Hybrid : Dynamic Asset Allocation,Nil upto 12% of original cost of investments and 1% for more than 12% on or before 90D Nil after 90D,6.0
Tata Banking & Financial Services Fund-Reg(G),Amey Sathe,EQ-FIN,2,2378.0,1.97,Open Ended,2015-12-28,Nifty Financial Services - TRI,39.25,41.63,33.01,-1.39,-4.44,-0.04,9.18,15.98,16.53,12.51,,20.43,34.0,166236.0,56.74,13.15,26.99,Financials,,,,1.66,0.41,0.59,0.95,15.8,Equity : Sectoral - Financial Services,0.25% on or before 30D,10.0
Tata BSE Select Business Groups Index Fund-Reg(G),Kapil Menon,EQ-INDX,Unrated,709.5,1.08,Open Ended,2024-12-12,BSE Select Business Groups Index - TRI,9.69,10.0,9.41,0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.25% on or before 15D,1.0
Tata BSE Sensex Index Fund-Reg(G),Kapil Menon,EQ-INDX,1,368.5,0.58,Open Ended,2003-02-25,BSE SENSEX - TRI,199.72,214.46,174.91,-1.69,-6.83,-1.09,9.19,14.96,11.78,14.21,11.41,8.9,30.0,684554.0,99.27,0.72,15.24,Financials,,,,0.81,0.42,0.65,1.0,13.89,Equity : Index Funds,0.25% on or before 7D Nil after 7D,22.0
Tata Business Cycle Fund-Reg(G),Rahul Singh (Tata),EQ-THEM,Unrated,2875.5,1.91,Open Ended,2021-08-04,NIFTY 500 - TRI,19.13,20.68,15.88,-1.24,-7.9,-1.72,18.51,26.63,22.32,,,45.88,76.0,109444.0,52.53,16.05,30.33,Financials,,,,9.9,0.96,1.35,0.96,15.37,Equity : Thematic,Nil upto 12% of investment and 1% for remaining investments on or before 90D Nil after 90D,4.0
Tata Corp Bond Fund-Reg(G),Abhishek Sonthalia,DT-CORP,Unrated,2762.6,0.86,Open Ended,2021-12-01,CRISIL Corporate Bond Index,11.85,11.85,10.95,0.54,1.44,4.07,8.21,7.55,5.76,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,5.7,3.56,7.66,2.92,5.22,10.38,0.39,0.78,Debt : Corporate Bond,Nil,4.0
Tata CRISIL IBX Gilt Index - April 2026 Index Fund-Reg(G),Amit Somani,DT-MD,Unrated,1026.2,0.35,Open Ended,2022-09-30,CRISIL IBX Gilt Index - April 2026,11.71,11.71,10.92,0.55,1.49,3.59,7.2,7.13,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.3,1.21,6.82,2.55,5.85,13.4,0.19,0.53,Debt : Medium Duration,Nil,3.0
Tata Digital India Fund-Reg(G),Meeta Shetty,EQ-TECH,Unrated,12659.0,1.66,Open Ended,2015-12-28,NIFTY IT - TRI,55.14,56.85,39.93,1.1,2.72,17.43,30.44,32.43,10.53,29.34,,22.28,37.0,220342.0,70.82,9.9,15.94,Technology,,,,20.89,1.45,2.78,0.77,17.08,Equity : Sectoral - Technology,0.25% on or before 30D,10.0
Tata Dividend Yield Fund-Reg(G),Sailesh Jain,EQ-DIV,Unrated,985.7,2.2,Open Ended,2021-05-20,NIFTY 500 - TRI,17.65,19.09,15.2,-2.27,-7.92,-4.76,11.84,23.61,15.78,,,22.83,70.0,113620.0,51.85,22.9,23.74,Financials,,,,3.91,0.53,0.72,1.06,17.59,Equity : Thematic - Dividend Yield,Nil upto 12% of investments and 1% for remaining units on or before 365D Nil after 365D,4.0
Tata ELSS Tax Saver Fund-Reg(G),Tejas Gutka,EQ-ELSS,2,4662.9,1.82,Open Ended,2014-10-13,NIFTY 500 - TRI,44.79,47.21,36.03,-0.26,-5.72,2.27,19.55,22.33,16.79,18.13,14.92,16.28,58.0,131290.0,58.67,10.22,26.49,Financials,,,,10.43,1.01,1.44,0.99,15.25,Equity : Tax Saving (ELSS),Nil,11.0
Tata Equity P/E Fund(G),Sonam Udasi,EQ-VAL,1,8639.7,1.78,Open Ended,2004-06-29,NIFTY 500 - TRI,357.0,381.75,284.98,-0.5,-7.2,-1.02,21.6,29.81,21.51,20.63,14.98,83.92,41.0,108228.0,50.98,14.85,24.33,Financials,,,,12.57,1.02,1.42,1.05,17.56,Equity : Value / Contra,Nil upto 12% on investment and 1% for rest investment on or before 12M Nil after 12M,21.0
Tata Equity Savings Fund-Reg(G),Sailesh Jain,HY-EQ,2,224.1,1.13,Open Ended,2000-04-27,NIFTY 50 Equity Savings Index,53.1,53.46,47.65,0.29,0.38,2.56,11.24,11.83,8.85,9.28,7.28,33.0,36.0,433477.0,57.85,7.97,1.28,Financials,4.88,3.56,6.97,4.21,1.51,2.17,0.9,4.51,Hybrid : Equity Oriented,0.25% on or before 7D Nil after 7D,25.0
Tata Ethical Fund-Reg(G),Abhinav Sharma,EQ-THEM,4,3288.8,1.91,Open Ended,1996-05-24,Nifty500 Shariah - TRI,399.61,436.49,345.08,-2.18,-9.1,-2.23,13.19,20.47,10.73,19.82,12.62,31.34,64.0,99494.0,41.84,34.97,15.67,Technology,,,,6.0,0.77,1.23,0.73,12.66,Equity : Thematic,0.50% on or before 90D Nil after 90D,29.0
Tata Flexi Cap Fund-Reg(G),Amey Sathe,EQ-FLEX,2,2976.4,1.93,Open Ended,2018-09-06,NIFTY 500 - TRI,23.05,24.72,19.42,-2.03,-7.01,0.02,12.94,20.96,12.29,15.28,,42.54,50.0,129720.0,50.59,16.47,28.36,Financials,,,,5.24,0.72,1.04,0.82,13.03,Equity : Flexi Cap,Nil upto 12% of original cost of investments and 1% for more than 12% on or before 12M Nil after 12M,7.0
Tata Floating Rate Fund-Reg(G),Akhil Mittal,DT-FL,Unrated,141.7,0.73,Open Ended,2021-07-07,CRISIL Short Duration Debt Index,12.24,12.24,11.36,0.66,1.76,3.94,7.7,7.41,6.38,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,7.9,3.55,7.72,3.2,7.85,15.79,0.14,0.46,Debt : Floater,Nil,4.0
TATA FMP-61-D-91D(G),Akhil Mittal,DT-FMP,Unrated,709.5,1.08,Closed Ended,2024-12-05,CRISIL Liquid Debt Index,10.06,10.06,10.0,0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,Debt : FTP/FMP,,1.0
Tata Focused Equity Fund-Reg(G),Meeta Shetty,EQ-MLC,Unrated,1870.0,2.04,Open Ended,2019-12-05,NIFTY 500 - TRI,24.17,25.52,19.76,0.16,-4.99,2.7,18.37,23.63,17.15,18.89,,40.8,30.0,137875.0,58.24,18.0,23.09,Financials,,,,9.6,0.94,1.35,0.99,15.58,Equity : Multi Cap,Nil upto 12% of original cost of invesment and 1% for more than 12% original cost of investment on or before 365D Nil after 365D,6.0
Tata Gilt Securities Fund-Reg(G),Akhil Mittal,DT-GILT,1,978.0,1.38,Open Ended,1999-09-04,CRISIL Dynamic Gilt Index,74.84,75.14,68.92,0.19,0.69,3.76,8.29,7.75,5.93,5.56,6.47,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,23.99,10.12,7.05,1.13,2.17,3.85,0.94,1.81,Debt : Gilt,Nil,26.0
Tata Gold ETF,Tapan Patel,GOLD-ETF,Unrated,289.6,0.38,Open Ended,2024-01-12,Gold-India,7.6,7.81,6.07,0.15,1.45,6.73,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,Gold : ETFs,,1.0
Tata Gold ETF FoF-Reg(G),Tapan Patel,FOF-DOM,Unrated,121.6,0.71,Open Ended,2024-01-19,Gold-India,12.08,12.52,9.86,-0.07,1.13,5.93,11.97,15.99,,,,2.52,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,FoFs : Domestic,0.50% on or before 7D Nil after 7D,1.0
Tata Housing Opportunities Fund-Reg(G),Tejas Gutka,EQ-THEM,Unrated,578.6,2.35,Open Ended,2022-09-02,Nifty Housing - TRI,15.76,17.09,13.1,-0.38,-8.36,-4.35,12.68,25.62,,,,8.31,31.0,77654.0,42.4,23.13,33.04,Construction,,,,4.41,0.56,0.81,0.97,16.67,Equity : Thematic,1% on or before 30D Nil after 30D,3.0
Tata Hybrid Equity Fund-Reg(G),Satish Chandra Mishra,HY-EQ,3,4150.4,1.92,Open Ended,1995-10-08,CRISIL Hybrid 35+65 - Aggressive Index,433.68,456.22,370.99,-0.64,-5.0,0.78,13.82,15.32,12.96,14.42,10.46,30.87,45.0,298194.0,57.19,8.95,9.19,Financials,7.95,4.51,7.43,4.44,0.9,1.3,1.8,10.85,Hybrid : Equity Oriented,Nil upto 12% of investments and 1% for remaining investments on or before 365D Nil after 365D,30.0
Tata India Consumer Fund-Reg(G),Sonam Udasi,EQ-CONS,2,2414.3,1.99,Open Ended,2015-12-28,Nifty India Consumption - TRI,47.23,49.14,35.42,2.45,-3.52,11.72,26.91,32.44,20.88,22.08,,57.74,40.0,77716.0,45.59,16.47,29.61,FMCG,,,,17.99,1.63,2.83,0.64,13.02,Equity : Thematic - Consumption,0.25% on or before 30D,10.0
Tata India Innovation Fund-Reg(G),Meeta Shetty,EQ-THEM,Unrated,1648.5,1.72,Open Ended,2024-11-28,NIFTY 500 - TRI,10.25,10.25,9.92,1.45,-2.11,3.25,11.97,15.99,,,,18.0,27.0,126902.0,17.45,4.59,11.56,Technology,,,,4.33,1.34,2.01,0.88,12.37,Equity : Thematic,1% on or before 90D,1.0
Tata India Pharma & Healthcare Fund-Reg(G),Meeta Shetty,EQ-PHRM,1,1213.9,2.14,Open Ended,2015-12-28,NIFTY PHARMA - TRI,32.01,32.01,23.07,4.58,2.34,21.31,40.42,39.19,21.06,28.11,,9.47,34.0,59132.0,35.11,33.75,26.86,Healthcare,,,,29.48,2.42,4.48,0.44,13.08,Equity : Sectoral - Pharma,0.25% on or before 30D,10.0
Tata Infrastructure Fund-Reg(G),Abhinav Sharma,EQ-INFRA,3,2403.7,2.05,Open Ended,2004-12-31,BSE India Infrastructure Index - TRI,180.55,204.97,145.73,-2.61,-10.82,-9.77,22.65,33.7,24.57,26.41,15.57,19.98,67.0,44505.0,32.02,19.98,43.94,Capital Goods,,,,13.99,0.96,1.35,1.07,20.15,Equity : Sectoral - Infrastructure,0.25% on or before 30D,21.0
Tata Large & Mid Cap Fund-Reg(G),Chandraprakash Padiyar,EQ-L&M,2,8342.4,1.76,Open Ended,1993-02-25,NIFTY LargeMidcap 250 - TRI,520.94,562.21,436.92,-1.57,-7.61,-1.52,15.42,19.52,16.9,18.66,13.66,11.91,51.0,139444.0,43.81,35.25,15.32,Financials,,,,7.43,0.83,1.18,0.89,14.39,Equity : Large & Mid Cap,Nil upto 12% of investment and 1% for remaining investments on or before 90D Nil after 90D,32.0
Tata Large Cap Fund-Reg(G),Abhinav Sharma,EQ-LC,3,2435.5,2.03,Open Ended,1998-05-07,NIFTY 100 - TRI,490.95,528.23,418.05,-1.6,-7.44,-2.29,13.36,19.4,13.91,16.05,11.82,33.59,53.0,286477.0,79.35,11.27,6.1,Financials,,,,4.79,0.66,0.96,1.0,14.87,Equity : Large Cap,Nil upto 12% of investments and 1% for remaining investments on or before 365D Nil after 365D,27.0
Tata Liquid Fund-Reg(G),Amit Somani,DT-LIQ,4,23348.0,0.32,Open Ended,2004-09-01,CRISIL Liquid Debt Index,3975.39,3975.39,3705.09,0.59,1.75,3.54,7.32,7.13,6.35,5.3,6.31,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.13,0.13,7.18,0.73,10.58,5.3,0.88,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D,21.0
Tata Mid Cap Growth Fund-Reg(G),Satish Chandra Mishra,EQ-MID,3,4494.4,1.86,Open Ended,1994-07-01,Nifty Midcap 150 - TRI,432.38,460.19,344.62,-0.28,-6.36,-2.36,22.64,31.89,20.66,24.66,16.24,32.19,69.0,48945.0,11.09,63.41,21.69,Financials,,,,13.81,1.1,1.57,0.93,16.9,Equity : Mid Cap,Nil upto 12% of investments and 1% for remaining investments on or before 365D Nil after 365D,31.0
Tata Money Market Fund-Reg(G),Amit Somani,DT-MM,4,27482.5,0.41,Open Ended,2003-05-22,CRISIL Money Market Index,4541.97,4541.97,4219.25,0.62,1.78,3.67,7.67,7.52,6.62,6.02,6.04,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.31,0.31,7.3,3.5,10.99,22.64,0.03,0.33,Debt : Money Market,Nil,22.0
Tata Multi Asset Opp Fund-Reg(G),Rahul Singh (Tata),HY-MULTI,Unrated,3430.8,1.88,Open Ended,2020-03-04,BSE 200,22.31,23.1,19.33,-0.15,-3.15,0.68,14.56,16.45,13.21,,,13.77,73.0,208840.0,47.76,6.73,11.55,Financials,5.22,2.74,7.17,5.62,1.13,1.6,1.61,9.16,Hybrid : Multi Asset Allocation,Nil upto 12% of investments and 1% for remaining investments on or before 365D Nil after 365D,5.0
Tata Multicap Fund-Reg(G),Rahul Singh (Tata),EQ-MLC,Unrated,3172.2,1.88,Open Ended,2023-02-02,Nifty500 Multicap 50:25:25 - TRI,14.56,15.59,12.4,-0.78,-7.12,-1.67,12.29,15.99,,,,31.32,76.0,73208.0,39.31,25.51,32.17,Financials,,,,4.38,0.58,0.8,0.99,16.25,Equity : Multi Cap,Nil upto 12% of investment and 1% for remaining investment on or before 365D Nil after 365D,2.0
Tata Nifty 50 ETF,Kapil Menon,EQ-ETF,Unrated,687.3,0.07,Open Ended,2019-01-01,NIFTY 50 - TRI,258.31,279.56,224.56,-1.61,-7.83,-1.26,10.34,16.41,12.89,15.71,,9.43,50.0,556030.0,98.71,1.24,15.24,Financials,,,,1.92,0.5,0.76,1.0,13.96,Equity : ETFs,,6.0
Tata NIFTY 50 Index Fund-Reg(G),Kapil Menon,EQ-INDX,3,1079.6,0.52,Open Ended,2003-02-25,NIFTY 50 - TRI,149.53,162.13,130.68,-1.66,-7.99,-1.55,9.73,15.78,12.29,14.95,11.54,6.84,50.0,555830.0,98.74,1.25,15.24,Financials,,,,1.34,0.46,0.7,0.99,13.94,Equity : Index Funds,0.25% on or before 7D Nil after 7D,22.0
Tata Nifty Auto Index Fund-Reg(G),Kapil Menon,EQ-AUTO,Unrated,76.3,1.11,Open Ended,2024-04-26,NIFTY AUTO - TRI,10.81,12.45,9.97,-1.09,-14.72,-8.55,11.97,15.99,,,,9.6,15.0,195447.0,85.94,12.39,1.55,Automobile and Ancillaries,,,,4.33,1.34,2.01,0.88,12.37,Equity : Sectoral - Auto,0.25% on or before 15D Nil after 15D,1.0
Tata Nifty Capital Markets Index Fund-Reg(G),Kapil Menon,EQ-INDX,Unrated,84.0,1.09,Open Ended,2024-10-24,Nifty Capital Markets Index - TRI,11.16,11.46,9.68,7.76,-2.11,3.25,11.97,15.99,,,,18.5,15.0,40052.0,55.18,49.0,50.98,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.25% on or before 15D,1.0
Tata Nifty Financial Services Index Fund-Reg(G),Kapil Menon,EQ-INDX,Unrated,45.1,1.11,Open Ended,2024-04-26,Nifty Financial Services - TRI,11.19,11.76,9.75,-1.78,-3.78,-0.38,11.97,15.99,,,,21.0,20.0,610616.0,95.52,3.62,0.77,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.25% on or before 15D Nil after 15D,1.0
Tata Nifty G-Sec Dec 2026 Index Fund-Reg(G),Amit Somani,DT-MD,Unrated,108.3,0.35,Open Ended,2023-01-16,Nifty G-sec Dec 2026 Index,11.44,11.44,10.66,0.53,1.42,3.69,7.35,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.85,1.7,6.8,2.47,4.9,10.29,0.26,0.66,Debt : Medium Duration,Nil,2.0
Tata Nifty G-Sec Dec 2029 Index Fund-Reg(G),Amit Somani,DT-M&LD,Unrated,179.6,0.45,Open Ended,2023-01-13,Nifty G-Sec Dec 2029 Index,11.6,11.6,10.71,0.47,1.25,4.31,8.24,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,4.57,3.8,6.84,2.27,3.26,5.92,0.61,1.25,Debt : Medium to Long Duration,Nil,2.0
Tata Nifty India Digital ETF,Kapil Menon,EQ-ETF,Unrated,161.5,0.4,Open Ended,2022-03-31,Nifty India Digital  - TRI,101.74,104.06,73.8,1.84,1.22,14.19,33.34,37.25,,,,35.47,30.0,175176.0,57.32,38.6,4.05,Technology,,,,22.58,1.6,2.88,0.87,16.87,Equity : ETFs,,3.0
Tata Nifty India Digital ETF FoF-Reg(G),Meeta Shetty,FOF-DOM,Unrated,97.9,0.48,Open Ended,2022-04-13,Nifty India Digital  - TRI,15.71,16.08,11.67,1.72,0.79,13.51,30.98,37.31,,,,18.0,30.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,21.24,1.74,3.09,1.13,14.11,FoFs : Domestic,Nil upto 12% of investment and 1% for remaining investments on or before 365D Nil after 365D,3.0
Tata Nifty India Tourism Index Fund-Reg(G),Kapil Menon,EQ-INDX,Unrated,283.9,1.09,Open Ended,2024-07-24,Nifty India Tourism Index - TRI,10.64,10.64,9.17,6.1,2.35,3.25,11.97,15.99,,,,30.1,15.0,62529.0,19.19,58.06,22.78,Travel,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.25% on or before 15D,1.0
Tata Nifty Midcap 150 Momentum 50 Index Fund-Reg(G),Kapil Menon,EQ-INDX,Unrated,686.0,1.05,Open Ended,2022-10-20,Nifty Midcap150 Momentum 50 - TRI,18.97,19.93,14.48,0.97,-4.52,1.69,29.92,39.61,,,,109.45,50.0,76845.0,19.47,80.58,15.24,Financials,,,,19.81,1.21,1.74,1.07,20.83,Equity : Index Funds,0.25% on or before 90D Nil after 90D,3.0
Tata Nifty MidSmall Healthcare Index Fund-Reg(G),Kapil Menon,EQ-INDX,Unrated,123.5,1.11,Open Ended,2024-04-26,Nifty MidSmall Healthcare - TRI,13.11,13.11,9.68,5.48,4.72,22.96,11.97,15.99,,,,8.94,30.0,47248.0,55.18,65.36,34.88,Healthcare,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.25% on or before 15D Nil after 15D,1.0
Tata Nifty Pvt Bank ETF,Kapil Menon,EQ-ETF,Unrated,11.0,0.14,Open Ended,2019-08-30,Nifty Private Bank - TRI,259.38,280.3,230.15,-1.74,-6.0,-4.8,0.76,7.75,12.32,7.43,,43.19,10.0,417462.0,83.29,13.61,3.07,Financials,,,,-7.21,-0.12,-0.18,1.03,17.03,Equity : ETFs,,6.0
Tata Nifty Realty Index Fund-Reg(G),Kapil Menon,EQ-INDX,Unrated,54.0,1.1,Open Ended,2024-04-26,NIFTY REALTY - TRI,10.77,11.82,9.61,1.9,-5.78,-5.74,11.97,15.99,,,,84.91,10.0,81254.0,37.39,48.82,13.79,Construction,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.25% on or before 15D Nil after 15D,1.0
Tata Nifty SDL Plus AAA PSU Bond Dec 2027 60:40 Index Fund-Reg(G),Amit Somani,DT-M&LD,Unrated,859.4,0.47,Open Ended,2022-03-30,Nifty SDL Plus AAA PSU Bond Dec 2027 60: 40 Index - TRI,11.82,11.83,10.94,0.53,1.46,3.91,8.1,7.41,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,2.86,2.45,7.2,3.05,4.92,11.18,0.29,0.79,Debt : Medium to Long Duration,Nil,3.0
Tata Nifty200 Alpha 30 Index Fund-Reg(G),Kapil Menon,EQ-INDX,Unrated,182.0,1.09,Open Ended,2024-09-05,Nifty200 Alpha 30 - TRI,9.22,10.01,8.59,0.53,-8.45,3.25,11.97,15.99,,,,38.27,30.0,136117.0,63.46,36.54,15.24,Automobile and Ancillaries,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.25% on or before 15D,1.0
Tata Nifty500 Multicap India Manufacturing 50:30:20 Index Fund-Reg(G),Kapil Menon,EQ-INDX,Unrated,120.3,1.11,Open Ended,2024-04-26,Nifty500 Multicap India Manufacturing 50:30:20 - TRI,11.08,12.0,9.81,-0.35,-8.52,-2.15,11.97,15.99,,,,20.37,76.0,119680.0,51.79,29.71,18.38,Automobile and Ancillaries,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.25% on or before 15D Nil after 15D,1.0
Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund-Reg(G),Kapil Menon,EQ-INDX,Unrated,79.1,1.11,Open Ended,2024-04-26,Nifty500 Multicap Infrastructure 50:30:20 - TRI,10.55,11.51,9.59,-0.37,-8.51,-5.53,11.97,15.99,,,,30.42,75.0,145599.0,51.55,28.36,19.95,Energy,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.25% on or before 15D Nil after 15D,1.0
Tata Overnight Fund-Reg(G),Amit Somani,DT-ON,4,4126.6,0.18,Open Ended,2019-03-27,CRISIL Liquid Overnight Index,1318.3,1318.3,1236.77,0.55,1.61,3.23,6.61,6.59,5.92,4.82,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.01,0.01,6.66,0.28,27.56,1.97,0.88,0.01,Debt : Overnight,Nil,6.0
Tata Quant Fund-Reg(G),Sailesh Jain,EQ-THEM,Unrated,67.1,2.39,Open Ended,2020-01-22,BSE 200 - TRI,15.15,16.96,13.12,-1.7,-10.11,-2.61,10.4,18.13,13.56,,,303.41,30.0,131553.0,63.81,26.68,0.37,Construction,,,,2.57,0.47,0.73,0.89,14.83,Equity : Thematic,Nil upto 12% of original cost of invesment and 1% for more than 12% original cost of investment on or before 365D Nil after 365D,5.0
Tata Resources & Energy Fund-Reg(G),Satish Chandra Mishra,EQ-POWER,Unrated,1047.3,2.16,Open Ended,2015-12-28,NIFTY COMMODITIES - TRI,42.54,47.14,36.15,-3.39,-10.83,-5.48,13.18,20.3,14.13,22.86,,11.18,50.0,79299.0,48.0,20.3,27.13,Energy,,,,5.19,0.53,0.74,1.16,20.83,Equity : Sectoral - Energy / Power,0.25% on or before 30D,10.0
Tata Retirement Sav Fund - Cons Plan(G),Sonam Udasi,HY-SOL,2,174.6,2.17,Open Ended,2011-11-04,CRISIL Short Term Debt Hybrid 75+25 Index,31.05,31.23,27.96,0.26,-0.65,2.77,10.0,11.22,7.4,8.23,8.1,0.0,52.0,89221.0,12.41,6.6,9.98,Financials,3.8,2.23,7.07,3.35,1.25,1.8,0.88,4.77,Hybrid : Solution Oriented,Nil on or after age of 60Y 1% before 61 months from the Date of allotment,14.0
Tata Retirement Sav Fund - Mod Plan(G),Sonam Udasi,HY-SOL,3,2176.8,2.0,Open Ended,2011-11-04,CRISIL Hybrid 25+75 - Aggressive Index,65.36,66.35,52.24,0.87,-1.52,4.89,20.01,23.23,14.28,15.5,13.04,55.15,51.0,87409.0,33.81,19.1,26.92,Financials,,,,10.11,1.21,1.72,1.84,12.82,Hybrid : Solution Oriented,Nil on or after age of 60Y 1% before 61 months from the Date of allotment,14.0
Tata Retirement Sav Fund - Prog Plan(G),Sonam Udasi,HY-SOL,4,2108.2,2.0,Open Ended,2011-11-04,NIFTY 500 - TRI,67.51,69.25,52.62,1.17,-2.8,4.54,22.25,26.25,15.33,16.53,13.99,70.55,54.0,82026.0,38.83,22.46,33.08,Financials,,,,11.64,1.18,1.69,2.09,15.01,Hybrid : Solution Oriented,Nil on or after age of 60Y 1% before 61 months from the Date of allotment,14.0
Tata Silver ETF,Tapan Patel,GOLD-ETF,Unrated,122.7,0.45,Open Ended,2024-01-12,Silver,8.65,9.72,6.81,-2.81,-3.87,-1.39,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,Gold : ETFs,,1.0
Tata Silver ETF FoF-Reg(G),Tapan Patel,FOF-DOM,Unrated,71.8,0.61,Open Ended,2024-01-19,Silver,11.91,13.48,9.66,-3.56,-4.68,-2.5,11.97,15.99,,,,8.17,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,FoFs : Domestic,0.50% on or before 7D Nil after 7D,1.0
